setting,n,truth,crit,n_ok,Cox,AM,LT,Flex,correct
1,1000,Cox,BIC,100,1.0,0.0,0.0,0.0,1.0
1,1000,Cox,AIC,100,0.7,0.0,0.0,0.3,0.7
1,2000,Cox,BIC,100,1.0,0.0,0.0,0.0,1.0
1,2000,Cox,AIC,100,0.4,0.0,0.0,0.6,0.4
1,4000,Cox,BIC,100,1.0,0.0,0.0,0.0,1.0
1,4000,Cox,AIC,100,0.22,0.0,0.0,0.78,0.22
2,1000,AM,BIC,100,0.0,1.0,0.0,0.0,1.0
2,1000,AM,AIC,100,0.0,0.75,0.25,0.0,0.75
2,4000,AM,BIC,100,0.0,0.99,0.01,0.0,0.99
2,4000,AM,AIC,100,0.0,0.8,0.17,0.03,0.8
3,1000,LT,BIC,100,0.0,0.18,0.82,0.0,0.82
3,1000,LT,AIC,100,0.0,0.0,1.0,0.0,1.0
3,4000,LT,BIC,100,0.0,0.0,1.0,0.0,1.0
3,4000,LT,AIC,100,0.0,0.0,1.0,0.0,1.0
7,1000,Flex,BIC,100,0.0,0.12,0.0,0.88,0.88
7,1000,Flex,AIC,100,0.0,0.0,0.0,1.0,1.0
7,4000,Flex,BIC,100,0.0,0.0,0.0,1.0,1.0
7,4000,Flex,AIC,100,0.0,0.0,0.0,1.0,1.0
