setting,n,sieve,truth,ok,Cox,AM,LT,Flex,correct
1,1000,alpha +4,Cox,84,100.0,0.0,0.0,0.0,100.0
1,2000,alpha +4,Cox,90,100.0,0.0,0.0,0.0,100.0
1,4000,alpha +4,Cox,89,100.0,0.0,0.0,0.0,100.0
1,1000,default,Cox,91,98.9,0.0,0.0,1.1,98.9
1,4000,default,Cox,85,75.3,0.0,0.0,24.7,75.3
2,1000,default,AM,95,0.0,83.2,16.8,0.0,83.2
2,4000,default,AM,96,0.0,90.6,9.4,0.0,90.6
3,1000,default,LT,100,0.0,0.0,100.0,0.0,100.0
3,4000,default,LT,100,0.0,0.0,100.0,0.0,100.0
4,1000,default,Flex,86,0.0,0.0,100.0,0.0,0.0
4,4000,default,Flex,95,0.0,0.0,92.6,7.4,7.4
7,1000,default,Flex,89,0.0,1.1,0.0,98.9,98.9
7,4000,default,Flex,85,0.0,0.0,0.0,100.0,100.0
