setting,n,m,Cox_negll,AM_negll,LT_negll,Flex_negll,Cox_npar,AM_npar,LT_npar,Flex_npar
1,1000,1000,-0.7227224386970643,-0.6367975693636968,-0.6765337590145086,-0.7356710520795313,14,10,15,22
1,1000,1000,-0.8784827419129819,-0.7679008027695109,-0.8005114231252533,-0.88573188390319,14,10,15,22
1,1000,1000,-0.6954430645478442,-0.5790275748127742,-0.6534067199268725,-0.6996514050494088,14,10,15,22
1,1000,1000,-0.7971822506132534,-0.7045092705357361,-0.7232827730902017,-0.8047310584036345,14,10,15,22
1,1000,1000,-0.8973457235660363,-0.8121904766939188,-0.8193863106156436,-0.9042806591823814,14,10,15,22
1,1000,1000,-0.5349258116256755,-0.4579850579568888,-0.46882064260373,-0.53737245285064,14,10,15,22
1,1000,1000,-0.49792509293074544,-0.41340384390240886,-0.4428555666323773,-0.5034242085787505,14,10,15,22
1,1000,1000,-0.8890920221135384,-0.7804274160367282,-0.8230071012012877,-0.8964514198222587,14,10,15,22
1,1000,1000,-1.035539501952846,-0.8983050023680894,-0.9892262195098293,-1.0480588889557467,14,10,15,22
1,1000,1000,-0.7902674584542365,-0.6816666922111494,-0.7300772246875181,-0.8005320082900311,14,10,15,22
1,1000,1000,-0.48955808866642336,-0.3761709836999171,-0.4586230980284727,-0.49297553575933306,14,10,15,22
1,1000,1000,-0.9975797958930216,-0.8785945219800596,-0.9158575348987642,-0.9990739217834889,14,10,15,22
1,1000,1000,-0.7355383954779773,-0.6514156169777621,-0.6551522408650425,-0.7391790370207314,14,10,15,22
1,1000,1000,-0.8055976868762491,-0.6997288680617635,-0.733614945431153,-0.8151753633934791,14,10,15,22
1,1000,1000,-0.6583465110429519,-0.5386156963612734,-0.6026379571805719,-0.6656564558874406,14,10,15,22
1,1000,1000,-0.44793570677708205,-0.36719346893733745,-0.4106066536913604,-0.45462907689913845,13,9,14,20
1,1000,1000,-1.2402710726855934,-1.1228146585745002,-1.1274536723006885,-1.2471110117747848,14,10,15,22
1,1000,1000,-0.7589408983907597,-0.6382153477110223,-0.6914263050302152,-0.7614149956800602,14,10,15,22
1,1000,1000,-1.2656202863061685,-1.1426985098937867,-1.1134782204143872,-1.2692742880349293,14,10,15,22
1,1000,1000,-0.9281758795886667,-0.8187423812669767,-0.8587719696160975,-0.9297218720649194,14,10,15,22
1,1000,1000,-1.4173487543343208,-1.3060099720330163,-1.3219871444645115,-1.4271951662772617,14,10,15,22
1,1000,1000,-0.5963547445755157,-0.5035472671915386,-0.5413718770078157,-0.6000044922532939,14,10,15,22
1,1000,1000,-0.8889319528349547,-0.7568141460008947,-0.800739941819932,-0.8999449837454927,14,10,15,22
1,1000,1000,-0.9339411808305126,-0.7980238609076619,-0.8722086482072091,-0.9369430244160075,14,10,15,22
1,1000,1000,-0.8788420562278247,-0.7910560789755786,-0.8161314233024077,-0.8879965336982141,14,10,15,22
1,1000,1000,-1.1079022945824455,-0.9938138975543607,-1.0340004272267547,-1.116530296671388,14,10,15,22
1,1000,1000,-0.704704073675935,-0.6090417475848044,-0.6571491470439605,-0.7144518364007963,14,10,15,22
1,1000,1000,-0.7373589891351531,-0.6232692486832662,-0.6880761104267199,-0.7452547665922311,14,10,15,22
1,1000,1000,-0.9057750540035536,-0.8271388851311217,-0.8411216548637567,-0.9139749480259329,14,10,15,22
1,1000,1000,-0.9922800376266677,-0.8655472203221307,-0.9249065457654237,-1.000550206322623,14,10,15,22
1,1000,1000,-0.8824786238073921,-0.7737010560447743,-0.8232000135801236,-0.8912288616669461,14,10,15,22
1,1000,1000,-0.6801556144191109,-0.5429606233339646,-0.6408849759871896,-0.6828989787400829,14,10,15,22
1,1000,1000,-1.1725139627209955,-1.0265292959742214,-1.0840021727830895,-1.1783761838905116,14,10,15,22
1,1000,1000,-0.8215806610923605,-0.7220615504668062,-0.7610383560322352,-0.8307465005573991,14,10,15,22
1,1000,1000,-1.2085324150598575,-1.0810225527620814,-1.115766167890801,-1.213906529707348,14,10,15,22
1,1000,1000,-0.8163055163980757,-0.6883366583414385,-0.7636052864991015,-0.8228106132730977,14,10,15,22
1,1000,1000,-0.6429044348985904,-0.5204466662405971,-0.5508347701012489,-0.6495866511953645,14,10,15,22
1,1000,1000,-0.8062057754357961,-0.6777677510372773,-0.7509269158162569,-0.8090500872866528,14,10,15,22
1,1000,1000,-0.7122181506546095,-0.6157345265328231,-0.6612954066036592,-0.7220370981350461,14,10,15,22
1,1000,1000,-0.6649992935792102,-0.5461465271832067,-0.6247887838940951,-0.6817946421852684,14,10,15,22
1,1000,1000,-0.6161467987108203,-0.5109296034998806,-0.5602033463438179,-0.6184421571906441,14,10,15,22
1,1000,1000,-0.8124723230125933,-0.7122584566422107,-0.7392798050569982,-0.817708803350919,14,10,15,22
1,1000,1000,-0.9980889648839811,-0.8672655341527229,-0.9132849475931748,-0.9997165793522891,14,10,15,22
1,1000,1000,-0.8343625800938207,-0.7059628302823872,-0.7245854313778609,-0.8381155387173458,14,10,15,22
1,1000,1000,-1.0654450642600226,-0.9568881679222768,-0.9943033250628482,-1.0731866529091367,14,10,15,22
1,1000,1000,-0.8656809486888355,-0.7460653110122767,-0.7301223520166782,-0.8709478253235439,14,10,15,22
1,1000,1000,-0.6059982822918674,-0.5051766831557647,-0.5433978503819121,-0.6065639233973216,14,10,15,22
1,1000,1000,-0.8862306161544239,-0.7764974909647845,-0.8456799198013809,-0.8947789338439698,14,10,15,22
1,1000,1000,-0.7960858948713135,-0.7189366469757928,-0.7088150090406894,-0.8025693602193128,14,10,15,22
1,1000,1000,-0.6781817955144311,-0.5779669949622576,-0.6019077473183347,-0.680383418718944,14,10,15,22
1,1000,1000,-0.45264598105562437,-0.36474144791585605,-0.40922252864853637,-0.45530510162692733,14,10,15,22
1,1000,1000,-1.08556182090346,-0.9560695019510163,-0.9599070464102042,-1.0955149538988267,14,10,15,22
1,1000,1000,-0.9454561072237516,-0.8573785659339938,-0.8872707234447094,-0.9525760960256421,14,10,15,22
1,1000,1000,-0.7505749029692889,-0.6399878200472549,-0.7171869709869566,-0.7577365310035903,14,10,15,22
1,1000,1000,-0.5062056021616022,-0.4274616559486963,-0.45246905820802796,-0.5130088386265765,14,10,15,22
1,1000,1000,-1.111629349551271,-0.9799901587666172,-1.0456618504223538,-1.1187721212730362,14,10,15,22
1,1000,1000,-0.754019651333731,-0.6821825063090896,-0.7147702623857795,-0.7647815218274914,14,10,15,22
1,1000,1000,-0.7820859715142596,-0.6658481946275001,-0.7204329446564798,-0.7899245428307086,14,10,15,22
1,1000,1000,-0.5347664970619876,-0.4420735186957813,-0.49853894252363035,-0.5410181426845679,14,10,15,22
1,1000,1000,-0.8074262235278971,-0.7052096105761885,-0.7532112243481766,-0.809939164140686,14,10,15,22
1,1000,1000,-1.1943595915754903,-1.0830673146176606,-1.099185222705103,-1.1996044959123464,14,10,15,22
1,1000,1000,-1.1252482864917592,-1.0247464569318245,-1.0400001982919553,-1.1272380573209244,14,10,15,22
1,1000,1000,-0.6087368388050531,-0.5105375550519434,-0.5546931285607275,-0.6127395126558149,14,10,15,22
1,1000,1000,-0.7826302259271888,-0.6842769052186263,-0.733227741512962,-0.7947675503039955,14,10,15,22
1,1000,1000,-0.7761434185838898,-0.6860301832261689,-0.7379452789889247,-0.7865530902398205,14,10,15,22
1,1000,1000,-0.6523649808229434,-0.5745101832571136,-0.6030691993871842,-0.6579565665452919,14,10,15,22
1,1000,1000,-0.9060551831375852,-0.8029487772909196,-0.8299663542774866,-0.9147587961864688,14,10,15,22
1,1000,1000,-0.9876939369381498,-0.9058599773883884,-0.8898552634929483,-0.995970760653915,14,10,15,22
1,1000,1000,-0.6725984730879658,-0.5863040959028895,-0.6196185088335505,-0.6771863841442887,14,10,15,22
1,1000,1000,-0.930314904158437,-0.8395894568466833,-0.8472083296868259,-0.9346978973175646,14,10,15,22
1,1000,1000,-0.6920541339353253,-0.6035322875979651,-0.637907578618327,-0.7008591306131657,14,10,15,22
1,1000,1000,-0.35314889459292864,-0.2676199355684112,-0.30365980880168536,-0.3572068712754208,14,10,15,22
1,1000,1000,-0.6236601777879378,-0.5518379266308093,-0.5721571519044469,-0.6284885337315127,14,10,15,22
1,1000,1000,-0.7517655301293417,-0.6369744111015607,-0.6973922919740876,-0.7546226025942242,14,10,15,22
1,1000,1000,-1.0236879924592068,-0.9152904613071587,-0.8406510701622738,-1.0323830604927198,14,10,15,22
1,1000,1000,-0.8581445220651612,-0.7668356424941294,-0.7990943391225432,-0.8648437570498336,14,10,15,22
1,1000,1000,-0.7886692492704951,-0.6861253252297939,-0.734369482479296,-0.7948574892291926,14,10,15,22
1,1000,1000,-1.176912929309186,-1.0573045392919111,-1.0789226256671292,-1.1785891995187303,14,10,15,22
1,1000,1000,-0.6034978886025683,-0.5226191475634405,-0.5386716910750038,-0.6086844458850755,14,10,15,22
1,1000,1000,-0.632786141005191,-0.5432978393986095,-0.5793017240696626,-0.6398072528146713,14,10,15,22
1,1000,1000,-0.8163581575903677,-0.680019209381233,-0.7375172867201532,-0.8224710298825503,14,10,15,22
1,1000,1000,-1.9559250019339989,-1.786179889073096,-1.6404295657530816,-1.959762291353526,14,10,15,22
1,1000,1000,-0.8158618916733948,-0.7256051458685437,-0.7547407596943012,-0.8173757485096931,14,10,15,22
1,1000,1000,-1.1853344975579485,-1.0914569179608276,-1.0889947504564097,-1.1875635266168043,14,10,15,22
1,1000,1000,-0.5110786926090377,-0.4489854624265954,-0.43232146469978716,-0.5183006749726319,14,10,15,22
1,1000,1000,-0.7683241884166219,-0.6700604094298797,-0.7114133010364572,-0.7710366147128288,14,10,15,22
1,1000,1000,-0.8587497231187121,-0.7452238061931376,-0.7736318486954165,-0.8615262877005694,14,10,15,22
1,1000,1000,-1.007673206209985,-0.8719455870939892,-0.9427212036793603,-1.0168477401000036,14,10,15,22
1,1000,1000,-0.8192058614309385,-0.7144228986915441,-0.7374866402692032,-0.8237295846007464,14,10,15,22
1,1000,1000,-0.7817143523953982,-0.6648220906333918,-0.7165402460044398,-0.7844718935354167,14,10,15,22
1,1000,1000,-0.7362785988359491,-0.628697754497739,-0.6764071510256872,-0.7469896186565557,14,10,15,22
